country,country_slug,city,city_slug,monthly_budget,monthly_rent,budget_mid_usd,rent_mid_usd,rent_share_pct,country_headline_usd,gap_vs_country_pct,url
Panama,panama,Boquete,boquete,"$1,400–1,900",$500–900,1650,700,42,2100,-21,https://thonretire.com/retire/panama/boquete
Panama,panama,Coronado,coronado,"$1,800–2,500",$550–900,2150,725,34,2100,2,https://thonretire.com/retire/panama/coronado
Panama,panama,Panama City,panama-city,"$2,000–2,800","$800–1,300",2400,1050,44,2100,14,https://thonretire.com/retire/panama/panama-city
Panama,panama,David,david,"$1,100–1,600 — ESTIMATE",$350–600 — ESTIMATE,1350,475,35,2100,-36,https://thonretire.com/retire/panama/david
Malaysia,malaysia,Penang / George Town,penang-george-town,"$1,100–1,700",$320–650,1400,485,35,1900,-26,https://thonretire.com/retire/malaysia/penang-george-town
Malaysia,malaysia,Kuala Lumpur,kuala-lumpur,"$1,300–2,000","$450–1,000",1650,725,44,1900,-13,https://thonretire.com/retire/malaysia/kuala-lumpur
Malaysia,malaysia,Ipoh,ipoh,"$900–1,400",$280–450,1150,365,32,1900,-39,https://thonretire.com/retire/malaysia/ipoh
Malaysia,malaysia,Kota Kinabalu,kota-kinabalu,"$1,000–1,500",$300–550,1250,425,34,1900,-34,https://thonretire.com/retire/malaysia/kota-kinabalu
Thailand,thailand,Chiang Mai,chiang-mai,"$1,200–1,900/mo",$350–700,1550,525,34,1800,-14,https://thonretire.com/retire/thailand/chiang-mai
Thailand,thailand,Hua Hin,hua-hin,"$1,500–2,400/mo",$400–700,1950,550,28,1800,8,https://thonretire.com/retire/thailand/hua-hin
Thailand,thailand,Bangkok,bangkok,"$1,400–2,200/mo","$550–1,200",1800,875,49,1800,0,https://thonretire.com/retire/thailand/bangkok
Thailand,thailand,Phuket,phuket,"$1,500–2,200/mo",$500–850,1850,675,36,1800,3,https://thonretire.com/retire/thailand/phuket
Cyprus,cyprus,Paphos,paphos,"$1,700–2,300",$540–870 (€500–800),2000,705,35,2200,-9,https://thonretire.com/retire/cyprus/paphos
