country,country_slug,field,label,group,text,value,unit,as_of,status,age_months,sla_months,confidence,source_publisher,source_url,source_kind
Panama,panama,costUsd,Cost of living,Living,2100,2100,USD/mo,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Panama,panama,fly,Flight time from Australia,Logistics,30,30,hours,2026-07,fresh,1,24,high,Thon,https://thonretire.com/method,thon
Panama,panama,health,Healthcare quality,Living,7.8,7.8,/10,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Panama,panama,safety,Safety,Living,7,7,/10,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Panama,panama,score,Thon best-fit score,Thon composite,87,87,/100,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Panama,panama,tax,Tax on foreign pension,Tax,0%,0,%,2026-07,fresh,1,3,high,"Dirección General de Ingresos (DGI/MEF), Panama",https://dgi.mef.gob.pa/DInforme/GD-ISR,official
Panama,panama,inc,Min income / assets,Visa & Residency,"$1,000/mo pension",1000,USD/mo,2026-07,fresh,1,3,high,"Servicio Nacional de Migración, Panama",https://www.migracion.gob.pa/,official
Panama,panama,visa,Retirement visa,Visa & Residency,Pensionado,,,2026-07,fresh,1,3,solid,"Servicio Nacional de Migración, Panama",https://www.migracion.gob.pa/,official
Panama,panama,pr,Path to permanent residency,Visa & Residency,Immediate,,,2026-07,fresh,1,3,solid,"Servicio Nacional de Migración, Panama",https://www.migracion.gob.pa/,official
Panama,panama,inherit,Inheritance / estate tax,Tax,No inheritance tax,,,2026-07,fresh,1,24,solid,"Dirección General de Ingresos (DGI/MEF), Panama",https://dgi.mef.gob.pa/DInforme/GD-ISR,official
Panama,panama,prop,Foreign property ownership,Finance & Property,Yes — freehold,,,2026-07,fresh,1,24,solid,National civil and property code,,secondary
Panama,panama,minAge,Minimum age,Visa & Residency,18 — pension-based,,,2026-07,fresh,1,3,solid,"Servicio Nacional de Migración, Panama",https://www.migracion.gob.pa/,official
Panama,panama,taxResDays,Tax-residency threshold,Tax,183 days,183,days,2026-07,fresh,1,6,high,"Dirección General de Ingresos (DGI/MEF), Panama",https://dgi.mef.gob.pa/DInforme/GD-ISR,official
Panama,panama,citPath,Path to citizenship,Visa & Residency,5 yrs (3 if married to Panamanian),5,years,2026-07,fresh,1,3,high,"Servicio Nacional de Migración, Panama",https://www.migracion.gob.pa/,official
Panama,panama,deposit,Deposit / bond required,Finance & Property,None,,,2026-07,fresh,1,3,solid,"Servicio Nacional de Migración, Panama",https://www.migracion.gob.pa/,official
Panama,panama,setupCost,Cost to establish residency,Finance & Property,~$3–6k legal + fees,3000,USD,2026-07,fresh,1,3,high,"Servicio Nacional de Migración, Panama",https://www.migracion.gob.pa/,official
Panama,panama,propTax,Annual property tax,Tax,0–0.7% · first $120k exempt,0,%,2026-07,fresh,1,3,high,"Dirección General de Ingresos (DGI/MEF), Panama",https://dgi.mef.gob.pa/DInforme/GD-ISR,official
Panama,panama,cgt,Capital gains tax,Tax,0% on foreign assets,0,%,2026-07,fresh,1,3,high,"Dirección General de Ingresos (DGI/MEF), Panama",https://dgi.mef.gob.pa/DInforme/GD-ISR,official
Panama,panama,procTime,Visa processing time,Visa & Residency,3–6 months,,,2026-07,fresh,1,6,solid,"Servicio Nacional de Migración, Panama",https://www.migracion.gob.pa/,official
Panama,panama,heirship,Forced-heirship rules,Finance & Property,None — free testation,,,2026-07,fresh,1,24,solid,National civil and property code,,secondary
